company,date,title,link,description
삼성물산,2026-04-13,"삼성물산, 전력거래소와 EMS 해외 수출 협력… “카타르·UAE 등 글로벌 ...",https://www.donga.com/news/Economy/article/all/20260413/133730138/1,삼성물산은 전력거래소와 전력계통운영시스템(EMS) 기술개발 및 해외 진출을 위한 업무협약(MOU)을 체결했다고 13일 밝혔다. 양측은 이번 협약을 통해 전력계통운영시스템의 신규 응용기술 개발·실증을 추진하고 실제... 
삼성물산,2026-04-13,신반포19·25차 재건축 수주전…삼성물산 vs 포스코이앤씨 '리턴매치',https://www.pinpointnews.co.kr/news/articleView.html?idxno=445071,13일 정비업계에 따르면 삼성물산 건설부문과 포스코이앤씨는 지난 10일 신반포19·25차 재건축 조합이 진행한 시공사 선정 입찰에 각각 참여하며 경쟁 입찰이 성립됐다. 신반포19·25차 재건축은 서울 서초구 잠원동... 
삼성물산,2026-04-10,공기 단축하고 원가 절감... 삼성물산·한신공영 모듈러주택株 동반 랠...,https://www.pinpointnews.co.kr/news/articleView.html?idxno=444510,사우디 등지에서 모듈러 주택 공급을 추진 중인 삼성물산은 1.50% 상승한 30만 4500원에 거래되고 있다. 친환경... 이들 기업은 기존 수주 산업의 한계를 벗어나 제조 기반의 건설 생태계를 구축하고 있다. 반면 일부 종목은... 
삼성물산,2026-04-10,"삼성물산 올해 도시정비 수주 예열 끝, 오세철 핵심지 수주로 강자 입지...",https://www.businesspost.co.kr/BP?command=article_view&num=435453,"건설업계 한 관계자는 ""지난해 도시정비 시장 규모가 64조 원 수준에서 올해 80조 원까지 늘어난 다는 점을 고려하면 삼성물산은 올해 수주 실적 10조 원 돌파도 바라볼 수 있을 것""이라고 말했다. 이 관계자는 ""여의도... "
삼성물산,2026-04-10,"주택 넘어 데이터센터… 삼성물산, 투자·운영까지 밸류체인 확장",https://www.pressman.kr/news/articleView.html?idxno=101277,"삼성물산은 건축·기계·전기·운영 전문가 등을 한 팀으로 묶어 데이터센터 건설 이전인 투자·사업개발부터 설계, 시공, 운영까지 데이터센터의 전 생애주기를 통합 관리하고 있다. 이러한 사업방식은 다른... "
삼성물산,2026-04-09,"GE 버노바 히타치, 스웨덴 SMR 사업 박차…삼성물산 수혜 기대",https://www.theguru.co.kr/news/article.html?no=100344,"삼성물산은 GVH가 유럽, 동남아시아, 중동에서 추진하는 SMR 사업의 설계·조달·시공(EPC) 파트너로 참여할 예정이다. 주요 사업의 초기 단계부터 EPC 전 과정에 걸쳐 협력하며, 글로벌 시장에서 SMR 사업을... "
삼성물산,2026-04-09,"삼성물산, 차세대 마감재 기술 개발…""원목 질감 그대로 구현""",https://www.hankyung.com/article/202604099435i,이 기술은 2028년 8월 입주 예정인 서울 강서구 방화동 ‘래미안 엘라비네’(방화6구역 재건축)에 마루와 벽체 마감재로 처음 적용된다. 삼성물산은 차세대 주거 모델인 ‘넥스트 홈’의 핵심 요소인 넥스트 플로어·바스... 
삼성물산,2026-04-08,"[단독] 삼성물산, 압구정4구역 재입찰 현장설명회 단독 참석…수의계약...",https://www.bizhankook.com/bk/article/31994,삼성물산은 압구정4구역 시공권 수주에 공을 들여왔다. 지난 3월에는 압구정4구역 사업 추진을 위해 18개 금융기관과 협업 체계를 구축하며 사업비 조달과 이주비 등 금융 조건에서 경쟁력을 강조했다. 여기에 영국의... 
삼성E&A,2026-04-15,"삼성E&A, 중동 플랜트 재건 호재 기대...안전·외교 변수는 부담",https://www.newspim.com/news/view/20260414001022,"이란 전쟁 이후 중동 지역 재건 기대감이 확대되면서 삼성E&A를 향한 시장의 관심도 높아지고 있다. 삼성E&A가 중동 플랜트 분야에서 축적해온 공사 실적과 수행 경험을 감안할 때, 향후 재건 사업이 본격화될 경우 수주... "
삼성E&A,2026-04-13,"""삼성E&A, 1분기 영업익 1,741억원 전망… 최고 수준의 신규수주 기대"" ...",http://www.biztribune.co.kr/news/articleView.html?idxno=352257,"LS증권은 13일 삼성E&A가 그룹사 물량 확대와 중동발 대형 화공 플랜트 수주에 힘입어 올해 기록적인 성장을 달성할 것으로 분석했다. 김세련 LS증권 연구원은 ""삼성E&A의 2026년 1분기 실적은 매출액 2조 3,510억 원(전년... "
삼성E&A,2026-04-10,"[단독] 삼성바이오, 6공장 건설 허가 신청…시공은 삼성E&A",http://www.wowtv.co.kr/NewsCenter/News/Read?articleId=A202604100364&t=NN,6공장 시공은 삼성E&A가 맡는다. 삼성E&A는 1공장을 제외하고 2~5공장을 지었다. 삼성바이오로직스는 지난 1월 미국 샌프란시스코에서 열린 제44회 JP모건 헬스케어 콘퍼런스(JPMHC2025)에서 연내에 6공장을 착공해 2027년... 
삼성E&A,2026-04-09,"삼성E&A에 중동 재건 수혜 기대감 높아져, 남궁홍 주무대서 보폭 다시 넓...",https://www.businesspost.co.kr/BP?command=article_view&num=435329,남궁홍 삼성E&A 대표이사 사장이 자신의 주무대였던 중동에서 다시 보폭을 넓히게 될 가능성이 나온다. 이란 전쟁을 놓고 2주간의 휴전에 들어가며 종전을 위한 협상이 진행되자 중동 재건사업 기대감이 커지면서 삼성E... 
대우건설,2026-04-15,대우건설·한전 손잡았다…터널 뚫는 'TBM' 설계 기술 고도화 맞손,https://www.newspim.com/news/view/20260415000325,대우건설이 한국전력공사(이하 한전)와 손잡고 터널 굴착 장비인 'TBM(Tunnel Boring Machine)'의 설계 기술 수준을 한 단계 끌어올리기 위한 업무협약(MOU)을 맺었다고 15일 밝혔다. 지난 14일 서울 중구 대우건설 본사에서... 
